year,hrs2
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
1972,.i
